retrieval_type,filter_type,prompt_type,generator_type,retrieval_type,retrieval_recall,retrieval_precision,retrieval_f1,retrieval_mrr,retrieval_ndcg,retrieval_average_precision,retrieval_mean_score,retrieval_max_score,retrieval_min_score
chroma,threshold_cutoff,fstring,openai,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,threshold_cutoff,fstring,ollama,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,threshold_cutoff,long_text_reorder,openai,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,threshold_cutoff,long_text_reorder,ollama,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,percentile_cutoff,fstring,openai,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,percentile_cutoff,fstring,ollama,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
chroma,percentile_cutoff,long_text_reorder,openai,chroma,1.1,0.22000000000000003,0.36666666666666664,0.3,0.6853094486919933,0.9866666666666667,0.6422458490609019,0.7540241216291278,0.5874476052383895
